query,retrieved_result,llm_answer,gpt_faithfulness_score,gpt_faithfulness_scoring_reason,gpt_relevance_score,gpt_relevance_scoring_reason
"<실내 조도> 0lx (완전 암흑)(0lx (완전 암흑))에 해당한 횟수가 291회
	- 참고 사항: 완전 암흑으로 인한 안전사고 위험, - 완전한 어둠은 낙상 및 안전사고 위험 증가
- 최소한의 안전조명 필요
- 야간 보행로나 계단 등에는 센서등 설치 권장","<참고 문서>
context 0) 노인의 적정 조도: 낮 300~500lx, 야간은 최소 안전조명.
context 1) 과도한 밝기는 수면 방해, 낮은 밝기는 낙상 위험.
context 2) 자연광 활용 및 간접조명 조절 필요.
","- 최근 한달 간 실내 조도가 '완전 암흑' 상태(0lx)였던 시간이 총 291 시간으로 확인되었습니다.
실내 조도가 '완전 암흑' 상태로 지속되는 것은 낙상 및 안전사고 위험을 증가시킬 수 있습니다. 특히 노인의 경우, 낮은 밝기는 낙상 위험을 더욱 높이므로 최소한의 안전조명이 필요합니다.
야간 보행로나 계단 등에는 센서등을 설치하여 필요한 순간에만 조명이 켜지도록 하면 안전성을 크게 높일 수 있습니다. 또한, 주거 공간 내에서 적정 조도를 유지하기 위해 자연광을 최대한 활용하고, 필요에 따라 간접조명을 조절하는 것이 좋습니다.
특히, 낮 시간대에는 300~500lx의 조도를 유지하고, 야간에는 최소한의 안전조명을 통해 안전사고를 예방할 수 있습니다. 이는 수면 방해를 최소화하면서도 안전을 유지할 수 있는 방법입니다.",5,"LLM 답변에서 노인의 낮 시간대 적정 조도(300~500lx), 야간 최소 안전조명 필요성, 낮은 밝기의 낙상 위험, 과도한 밝기의 수면 방해, 자연광 활용 및 간접조명 조절 필요성 등을 모두 참고 문서와 일치하게 서술하고 있다. 추가로 언급된 센서등 설치 등은 상식적 확장으로, 주어진 근거와 모순되지 않는다.",5,"retrieved_result의 핵심인 노인 대상 적정 조도 범위(낮 300~500lx, 야간 최소 안전조명), 낮은 밝기의 낙상 위험, 자연광 및 간접조명 활용을 모두 직접적으로 언급하고 구체적으로 확장 설명하고 있다. 답변 전반이 해당 초점에 밀접하게 맞춰져 있어 불필요한 일반론이 거의 없다."
"<실내 이산화탄소 농도> 1,000 ppm 초과(1,000 ppm 초과)에 해당한 횟수가 572회
	- 참고 사항: - 농도가 높아지면 졸림, 집중력 저하, 호흡곤란, 어지럼증, 피로/졸림현상, 두통 및 어깨결림 유발
- 새벽이나 이른아침 미세먼지 농도가 낮은 편으로 오전 10시 전에 환기하는 것이 효과적","<참고 문서>
context 0) CO₂ 1,000ppm 초과 시 졸림·두통·집중력 저하 발생.
context 1) 노인에게는 인지 저하와 호흡기 악화 영향.
context 2) 환기·공기청정기 활용이 효과적.
","- 최근 한달 간 실내 이산화탄소 농도가 '높음' 상태(1,000 ppm 초과)였던 시간이 총 572 시간으로 확인되었습니다.
실내 이산화탄소 농도가 '높음' 상태로 지속되면 졸림, 집중력 저하, 호흡곤란, 어지럼증, 피로, 두통, 어깨결림 등의 증상이 나타날 수 있습니다. 특히 노인의 경우 인지 저하와 호흡기 악화의 위험이 더욱 증가할 수 있습니다.
이러한 증상을 예방하기 위해서는 실내 환기를 자주 실시하는 것이 중요합니다. 새벽이나 이른 아침에 미세먼지 농도가 낮은 시간대(오전 10시 전)에 환기를 하는 것이 더욱 효과적입니다. 또한 공기청정기를 활용하여 실내 공기 질을 개선하는 것도 좋은 방법입니다. 실내에서 많은 사람들이 모이는 경우나 요리를 할 때는 특히 이산화탄소 농도가 급격히 상승할 수 있으므로, 이러한 상황에서는 더욱 신경 써서 환기를 실시하는 것이 좋습니다.",4,"retrieved_result에 있는 핵심 내용(1000ppm 초과 시 졸림·두통·집중력 저하, 노인 인지·호흡기 악화, 환기·공기청정기 활용)이 모두 정확히 반영되어 있다. 다만 호흡곤란·어지럼증·피로·어깨결림 등 추가 증상과 ‘오전 10시 전 환기’ 같은 구체 시간대는 근거에 없는 확장된 내용이라 부분적으로는 추론/추가 정보에 해당한다.",5,"retrieved_result의 핵심인 CO₂ 1,000ppm 초과 시 증상(졸림·두통·집중력 저하), 노인 인지·호흡기 악화, 환기·공기청정기 활용 효과를 모두 직접적으로 언급하고 구체화하고 있다. 전체 답변이 이 세 요소를 중심으로 전개되어 있어 불필요하게 벗어나는 내용이 거의 없다."
"<실내 온도> 초과(초과)에 해당한 횟수가 483회
	- 참고 사항: 여름
▼
온열질환
주의, (여름)
- 집안 창문에 직사광선을 차단할 수 있도록 커튼이나 천, 필름 등 설치
- 탈수를 유발하는 카페인이 들어간 음료나 주류보다는 생수나 이온음료 마시는 것이 좋음
- 하루 중 오후 12시~5시 사이 야외활동은 피하는 것을 권장
- 열발진(땀띠)이 생긴 경우, 파우더 등을 사용하여 열발진 부위를 건조하게 유지

(겨울)
- 난방기구 직접적인 열을 피하고 적정 온도(18-22도)로 설정하여 과도한 난방 방지
- 실내외 온도차가 10도 이상 나지 않도록 주의하여 감기나 호흡기 질환 예방","<참고 문서>
context 0) 적정 실내 온도: 겨울 22–24℃, 여름 26–28℃.
context 1) 온도 변화는 심혈관·면역·호흡기에 영향.
context 2) 계절별 난방·냉방 관리 및 실내외 온도차 조절 필요.
","- 최근 한달 간 실내 온도가 '정상' 범위(15~28℃)를 벗어나 '높음' 상태(28℃ 초과)였던 시간이 총 483 시간으로 확인되었습니다.
실내 온도가 '높음' 상태로 지속되는 것은 여름철 특유의 고온 환경과 직사광선, 복사열이 주요 원인일 수 있습니다. 이로 인해 온열질환 위험이 증가하므로, 창문에 커튼이나 차광 필름을 설치하여 직사광선을 차단하시기 바랍니다.
또한 냉방기구의 온도 설정을 적정 범위(26~28℃)로 조절하고, 탈수 방지를 위해 카페인이 들어간 음료나 주류보다는 생수나 이온음료를 섭취하는 것이 좋습니다. 특히 오후 12시부터 5시까지는 실내 온도가 가장 높아지는 시간대이므로 야외활동을 피하고 실내에서 충분한 수분을 섭취하시길 권장합니다.
마지막으로, 실내외 온도 차이가 크면 감기나 호흡기 질환의 위험이 증가하므로, 실내외 온도 차이를 10도 이내로 유지하는 것이 좋습니다.",4,"retrieved_result에서 제시한 여름철 적정 실내 온도(26–28℃)와 실내외 온도차 조절 필요성은 답변과 잘 일치한다. 다만 ‘정상 범위(15~28℃)’나 ‘실내외 온도 차이를 10도 이내로 유지’ 같은 수치 기준은 참고 문서에 없는 내용으로, 일부 확장·추가 정보가 포함되어 있어 완전한 일치는 아니지만 전반적 방향은 크게 벗어나지 않는다.",4,"retrieved_result에서 제시한 적정 실내 온도(여름 26–28℃)와 실내외 온도차 관리 필요성을 그대로 활용해 설명하고, 온열질환·호흡기 질환 위험 등도 언급하여 전반적으로 초점이 잘 맞는다. 다만 ‘정상 범위(15~28℃)’나 시간대별 야외활동 자제 등 일부 내용은 원문에 없는 일반적 조언으로, 약간의 확장이 포함되어 있어 완전히 일치한다고 보긴 어렵다."
"<실내 조도> 300lx 미만(300lx 미만)에 해당한 횟수가 465회
	- 참고 사항: 대낮 활동을 위한 조도 부족, - 대낮 시간대는 가장 활동성이 높은 시간으로 충분한 조도 필요
- 업무나 독서 등 정밀한 작업을 위한 적절한 밝기 부족
- 눈의 피로 및 집중력 저하 유발 가능
- 자연광 활용을 최우선으로 하되 부족 시 인공조명 보완","<참고 문서>
context 0) 노인의 적정 조도: 낮 300~500lx, 야간은 최소 안전조명.
context 1) 과도한 밝기는 수면 방해, 낮은 밝기는 낙상 위험.
context 2) 자연광 활용 및 간접조명 조절 필요.
","- 최근 한달 간 실내 조도가 '낮음' 상태(300lx 미만)였던 시간이 총 465 시간으로 확인되었습니다.
실내 조도가 '낮음' 상태로 지속되는 것은 대낮 활동을 위한 적절한 밝기를 제공하지 못하고 있습니다. 이로 인해 눈의 피로와 집중력 저하가 유발될 수 있으며, 특히 노인의 경우 낙상 위험이 증가할 수 있습니다. 
자연광을 최우선으로 활용하여 실내 조도를 개선하는 것이 좋습니다. 창문을 통해 가능한 한 많은 자연광을 들여오고, 필요할 경우 인공조명을 보완하여 적정 조도(300~500lx)를 유지하도록 하세요. 
특히 업무나 독서 등 정밀한 작업을 할 때는 더욱 밝은 조명을 사용하여 눈의 피로를 줄이고 집중력을 높이는 것이 좋습니다. 또한, 야간에는 최소한의 안전조명을 유지하여 낙상 위험을 줄이는 것이 중요합니다.",5,"노인의 적정 조도 범위(300~500lx)와 300lx 미만이 낮음이라는 해석, 낮은 밝기가 낙상 위험을 높인다는 설명, 자연광 우선 활용 및 인공조명 보완, 야간 최소 안전조명 유지 등은 모두 참고 문서의 내용과 일치한다. 추가로 언급한 눈의 피로·집중력 저하 등은 상식적 보완 설명으로, 주어진 근거를 왜곡하지 않는다.",5,"retrieved_result의 핵심인 노인의 적정 조도 범위(300~500lx), 낮은 밝기 시 낙상 위험, 자연광 활용, 야간 최소 안전조명 유지 등을 모두 직접적으로 언급하고 구체적 상황(300lx 미만 465시간)에 연결해 설명하고 있어 초점 일치도가 매우 높다."
"<실내 온도> 미만(미만)에 해당한 횟수가 287회
	- 참고 사항: 겨울:한파관련 주의

여름:냉방기구 조정 필요, (겨울)
- 내복을 입는 것만으로도 약 2.4도의 보온효과 발생
- 실내에서는 두께가 있는 가디건을 입는 것이 효과적
- 온도가 낮은 이른 아침의 무리한 신체활동은 혈압이 상승하거나 심뇌혈관질환이 악화될 가능성이 있음
- 추운날씨에는 술과 카페인 음료는 체온을 급격하게 잃게할 수 있음. 따뜻한 물이나 단맛의 음료를 마시는것은 체온 유지에 도움이 됨
- 땀흘리는 심한 운동은 그렇지 않았을 때보다 빠른 속도로 체온이 감소되므로 삼가는 것이 좋음
- 신체에 오한이 드는 경우 목도리와 모자 착용 권장

(여름)
- 에어컨 직풍을 피하고 적정 온도(24-26도)로 설정하여 과도한 냉방 방지
- 실내외 온도차가 7도 이상 나지 않도록 주의하여 냉방병 예방","<참고 문서>
context 0) 적정 실내 온도: 겨울 22–24℃, 여름 26–28℃.
context 1) 온도 변화는 심혈관·면역·호흡기에 영향.
context 2) 계절별 난방·냉방 관리 및 실내외 온도차 조절 필요.
","- 최근 한달 간 실내 온도가 '정상' 범위(15~28℃)보다 '낮음' 상태(< 15℃)였던 시간이 총 287 시간으로 확인되었습니다.
실내 온도가 '낮음' 상태로 지속되는 것은 저체온증이나 혈액 순환 문제를 유발할 수 있습니다. 특히 겨울철에는 한파 관련 주의가 필요하며, 실내에서는 두께가 있는 가디건을 입는 것이 효과적입니다. 
또한, 내복을 입는 것만으로도 약 2.4도의 보온 효과가 있으므로, 추운 날씨에는 내복 착용을 권장합니다. 이른 아침의 무리한 신체 활동은 혈압 상승이나 심뇌혈관 질환이 악화될 가능성이 있으므로 피하는 것이 좋습니다.
술과 카페인 음료는 체온을 급격하게 잃게 할 수 있으므로, 따뜻한 물이나 단맛의 음료를 마시는 것이 체온 유지에 도움이 됩니다. 땀을 많이 흘리는 심한 운동은 체온이 빠르게 감소하므로 삼가는 것이 좋으며, 신체에 오한이 드는 경우에는 목도리와 모자를 착용하여 체온을 유지하는 것이 좋습니다.",2,"retrieved_result에는 겨울 22–24℃, 여름 26–28℃가 적정 실내 온도라고만 제시되어 있는데, LLM 답변은 15~28℃를 ‘정상 범위’로 정의하고 <15℃를 ‘낮음’으로 규정하는 등 핵심 수치 설정이 문서와 다릅니다. 또한 온도 변화가 심혈관·면역·호흡기에 영향을 준다는 정도만 제시된 상황에서, 저체온증·혈액순환 문제, 내복의 2.4도 보온 효과 등은 근거 없이 구체적으로 확장된 내용이라 문서와의 정합성이 떨어집니다.",3,"retrieved_result는 계절별 적정 실내 온도 범위(겨울 22–24℃, 여름 26–28℃)와 온도 변화가 심혈관·면역·호흡기에 미치는 영향, 실내외 온도차 관리에 초점을 두고 있다. 그러나 LLM 답변은 ‘정상 범위 15~28℃’라는 별도 기준을 사용하고, 저체온·보온 수칙 등 일반적인 추위 대처법에 치중해 있어 같은 온도·건강 도메인이지만 참고 문서의 구체적 초점과는 다소 벗어난 내용이 많다."
"<실내 온도> 초과(초과)에 해당한 횟수가 122회
	- 참고 사항: 여름
▼
온열질환
주의, (여름)
- 집안 창문에 직사광선을 차단할 수 있도록 커튼이나 천, 필름 등 설치
- 탈수를 유발하는 카페인이 들어간 음료나 주류보다는 생수나 이온음료 마시는 것이 좋음
- 하루 중 오후 12시~5시 사이 야외활동은 피하는 것을 권장
- 열발진(땀띠)이 생긴 경우, 파우더 등을 사용하여 열발진 부위를 건조하게 유지

(겨울)
- 난방기구 직접적인 열을 피하고 적정 온도(18-22도)로 설정하여 과도한 난방 방지
- 실내외 온도차가 10도 이상 나지 않도록 주의하여 감기나 호흡기 질환 예방","<참고 문서>
context 0) 적정 실내 온도: 겨울 22–24℃, 여름 26–28℃.
context 1) 온도 변화는 심혈관·면역·호흡기에 영향.
context 2) 계절별 난방·냉방 관리 및 실내외 온도차 조절 필요.
","- 최근 한달 간 실내 온도가 '정상' 범위(15~28℃)를 벗어나 '높음' 상태(28℃ 초과)였던 시간이 총 122 시간으로 확인되었습니다.
실내 온도가 '높음' 상태로 지속되는 것은 여름철 특유의 높은 온도와 직사광선이 주요 원인일 수 있습니다. 이로 인해 온열질환의 위험이 증가하므로, 창문에 커튼이나 차광 필름을 설치하여 직사광선을 차단하시기 바랍니다.
또한 냉방기구의 온도 설정을 적정 범위(26~28℃)로 조절하고, 탈수 방지를 위해 카페인이 들어간 음료나 주류보다는 생수나 이온음료를 섭취하는 것이 좋습니다. 
특히 오후 12시부터 5시까지는 실내 온도가 가장 높아지는 시간대이므로 야외활동을 피하고 실내에서 충분한 수분을 섭취하시길 권장합니다. 
열발진(땀띠)이 생긴 경우, 파우더 등을 사용하여 열발진 부위를 건조하게 유지하는 것이 도움이 됩니다.",4,"retrieved_result에는 적정 실내 온도(여름 26–28℃)와 온도 변화가 건강에 영향을 준다는 정도만 제시되어 있는데, LLM 답변은 이 범위를 잘 활용해 냉방기구 온도 설정을 26–28℃로 권장하는 등 큰 틀에서 맥락에 부합한다. 다만 ‘정상 범위 15~28℃’와 같은 수치, 온열질환·야외활동 시간대·수분 섭취 방법·열발진 관리 등은 제공된 근거에 없는 내용으로, 전반적으로 상식선에서 크게 어긋나지는 않지만 retrieved_result에 직접적으로 뒷받침되지 않는 확장 정보가 많아 5점보다는 4점이 적절하다.",4,"retrieved_result에서 제시한 여름철 적정 실내 온도(26–28℃)와 온도 관리 필요성에 맞춰, 답변이 ‘높음’ 상태(28℃ 초과) 시간, 냉방기 온도 26–28℃ 설정 등 구체적으로 연계해 설명하고 있다. 다만 온열질환 일반 예방, 수분 섭취, 야외활동 자제 등 일부 내용은 원문 초점(적정 실내 온도와 실내외 온도차 관리)에서 다소 벗어난 일반적 건강 수칙에 해당한다."
"<실내 습도> 60% 초과(60% 초과)에 해당한 횟수가 85회
	- 참고 사항: 곰팡이/세균/진드기 번식, 결로, - 습도가 60% 이상이 되는 경우 실내 곰팡이가 증식할 수 있음
- 환기를 통해 욕실 등 습기 발생원의 습기를 실외로 배출","<참고 문서>
context 0) 적정 실내 습도는 40~60%.
context 1) 건조 시 호흡기 건조·염증, 과습 시 곰팡이·감염 증가.
context 2) 환기 및 가습/제습 유지 필요.
","- 최근 한달 간 실내 습도가 '높음' 상태(60% 초과)였던 시간이 총 85 시간으로 확인되었습니다.
실내 습도가 '높음' 상태로 지속되면 곰팡이, 세균, 진드기의 번식이 증가하고 결로 현상이 발생할 수 있습니다. 이러한 습도 상태는 실내 공기질을 저하시키고 호흡기 질환의 위험을 증가시키므로, 환기를 통해 습기를 제거하는 것이 중요합니다.
특히 욕실이나 주방 등 습기가 많이 발생하는 공간에서는 환기 팬을 이용하여 습기를 실외로 배출하고, 제습기를 사용하여 습도를 적정 범위(40~60%)로 유지하는 것이 좋습니다. 또한, 습도가 높은 상태가 지속될 경우 곰팡이 제거제를 사용하여 곰팡이 번식을 방지하고, 실내 청결을 유지하는 것이 필요합니다.",5,"retrieved_result에서 제시한 적정 습도 범위(40~60%)와 과습 시 곰팡이·감염 증가, 환기 및 제습 필요성 등을 LLM 답변이 모두 반영하고 있다. 곰팡이·세균·진드기 번식, 결로, 환기·제습기 사용 등의 언급은 상식적 확장으로 맥락에 부합하며, 주어진 정보와 모순되는 내용은 없다.",5,"retrieved_result의 핵심인 적정 습도 범위(40~60%), 과습 시 곰팡이·감염 증가, 환기 및 제습 필요성을 모두 직접적으로 언급하고 구체적으로 확장 설명하고 있다. 답변의 대부분이 과습 상태의 위험성과 환기·제습을 통한 관리에 집중되어 있어 문서의 초점과 매우 밀접하게 일치한다."
"<실내 습도> 60% 초과(60% 초과)에 해당한 횟수가 477회
	- 참고 사항: 곰팡이/세균/진드기 번식, 결로, - 습도가 60% 이상이 되는 경우 실내 곰팡이가 증식할 수 있음
- 환기를 통해 욕실 등 습기 발생원의 습기를 실외로 배출","<참고 문서>
context 0) 적정 실내 습도는 40~60%.
context 1) 건조 시 호흡기 건조·염증, 과습 시 곰팡이·감염 증가.
context 2) 환기 및 가습/제습 유지 필요.
","- 최근 한달 간 실내 습도가 '높음' 상태(60% 초과)였던 시간이 총 477 시간으로 확인되었습니다.
실내 습도가 '높음' 상태로 지속되면 곰팡이, 세균, 진드기의 번식이 증가하며, 이로 인해 결로 현상이 발생하고 호흡기 질환이 유발될 위험이 있습니다. 따라서, 실내 습도를 적정 범위(40~60%)로 유지하기 위해 환기를 자주 실시하고, 특히 욕실 등 습기가 많은 장소에서는 환풍기를 활용하여 습기를 실외로 배출하는 것이 중요합니다.
또한, 제습기를 사용하여 습도를 조절하거나, 실내에 흡습 효과가 있는 물건들을 배치하여 습도를 낮추는 것도 효과적입니다. 이러한 조치를 통해 실내 환경을 쾌적하게 유지하고, 건강 위험을 줄일 수 있습니다.",5,"retrieved_result에서 제시한 적정 습도 범위(40~60%)와 과습 시 곰팡이·감염 증가, 환기 및 제습 필요성 등을 정확히 반영하고 있다. 곰팡이·세균·진드기 번식, 결로, 호흡기 질환 위험 등은 상식적 확장으로 맥락에 부합하며, 핵심 사실과 모순되는 내용이 없다.",5,"retrieved_result의 핵심인 적정 습도 범위(40~60%), 과습 시 곰팡이·감염 증가, 환기 및 제습 필요성을 모두 직접적으로 언급하며, 설명과 조치 방안이 참고 문서의 초점을 매우 정확하게 확장·구체화하고 있다."
"<실내 조도> 0lx (완전 암흑)(0lx (완전 암흑))에 해당한 횟수가 635회
	- 참고 사항: 완전 암흑으로 인한 안전사고 위험, - 완전한 어둠은 낙상 및 안전사고 위험 증가
- 최소한의 안전조명 필요
- 야간 보행로나 계단 등에는 센서등 설치 권장","<참고 문서>
context 0) 노인의 적정 조도: 낮 300~500lx, 야간은 최소 안전조명.
context 1) 과도한 밝기는 수면 방해, 낮은 밝기는 낙상 위험.
context 2) 자연광 활용 및 간접조명 조절 필요.
","- 최근 한달 간 실내 조도가 '완전 암흑' 상태(0lx)였던 시간이 총 635 시간으로 확인되었습니다. 
실내 조도가 '완전 암흑' 상태로 지속되는 것은 낙상 및 안전사고 위험을 크게 증가시킵니다. 특히 노인의 경우, 낮은 조도는 낙상 위험이 더욱 높아질 수 있으므로, 최소한의 안전조명을 설치하는 것이 중요합니다. 
야간 보행로나 계단 등에는 센서등을 설치하여 어두운 공간에서도 안전하게 이동할 수 있도록 하는 것이 좋습니다. 또한, 낮에는 자연광을 최대한 활용하고, 필요할 경우 간접조명을 사용하여 적정 조도를 유지하는 것이 좋습니다. 
실내 조도를 적절히 조절하는 것은 안전사고를 예방하고 쾌적한 환경을 만들기 위한 중요한 요소입니다.",5,"retrieved_result에서 노인은 야간에 최소 안전조명이 필요하고, 낮은 밝기는 낙상 위험을 높인다고 했는데, 답변에서도 완전 암흑(0lx)이 낙상·안전사고 위험을 높이므로 최소 안전조명을 설치해야 한다고 설명해 일치한다. 또한 낮에는 자연광과 간접조명 활용을 권장하는 부분도 자연광 활용 및 간접조명 조절 필요라는 근거와 부합하며, 과도한 밝기 언급이 없을 뿐 모순되는 내용은 없다.",5,"retrieved_result에서 제시한 노인의 낮은 조도 시 낙상 위험, 야간 최소 안전조명 필요, 자연광 및 간접조명 활용 등의 핵심 내용을 그대로 반영하여 설명하고 있어 초점과 관점이 매우 정확하게 일치한다. 답변의 대부분이 완전 암흑(0lx)에 따른 위험성과 안전조명·자연광·간접조명 활용에 집중되어 있어 불필요한 일반론이 거의 없다."
"<실내 이산화탄소 농도> 1,000 ppm 초과(1,000 ppm 초과)에 해당한 횟수가 303회
	- 참고 사항: - 농도가 높아지면 졸림, 집중력 저하, 호흡곤란, 어지럼증, 피로/졸림현상, 두통 및 어깨결림 유발
- 새벽이나 이른아침 미세먼지 농도가 낮은 편으로 오전 10시 전에 환기하는 것이 효과적","<참고 문서>
context 0) CO₂ 1,000ppm 초과 시 졸림·두통·집중력 저하 발생.
context 1) 노인에게는 인지 저하와 호흡기 악화 영향.
context 2) 환기·공기청정기 활용이 효과적.
","- 최근 한달 간 실내 이산화탄소 농도가 '높음' 상태(1,000 ppm 초과)였던 시간이 총 303 시간으로 확인되었습니다.
실내 이산화탄소 농도가 '높음' 상태로 지속되면 졸림, 집중력 저하, 호흡곤란, 어지럼증, 피로, 두통 및 어깨결림 등의 증상이 유발될 수 있습니다. 특히 노인의 경우 인지 저하와 호흡기 악화의 위험이 더욱 높아집니다.
이러한 증상을 예방하기 위해서는 환기와 공기청정기 활용이 효과적입니다. 새벽이나 이른 아침에 미세먼지 농도가 낮은 시기에 환기를 실시하면 더욱 효과적입니다. 오전 10시 전에 창문을 열어 환기를 하고, 공기청정기를 사용하여 실내 공기 질을 개선하시기 바랍니다. 이러한 조치를 통해 실내 이산화탄소 농도를 '정상' 범위(400~1,000 ppm) 내로 유지할 수 있습니다.",5,"retrieved_result에서 제시한 CO₂ 1,000ppm 초과 시 졸림·두통·집중력 저하, 노인 인지 저하·호흡기 악화, 환기·공기청정기 활용의 효과를 LLM 답변이 모두 정확히 반영하고 있다. 추가로 언급한 어지럼증·피로 등은 일반적인 상식 수준의 합리적 보완이며, 전반적인 사실 관계에 모순이 없다.",5,"retrieved_result에 있는 1,000ppm 초과 시 증상, 노인 인지·호흡기 악화, 환기·공기청정기 활용 효과를 모두 그대로 반영하고 구체화하고 있어 초점이 매우 정확하게 일치한다. 불필요한 주변 설명 없이 문서의 핵심 요소를 중심으로 서술해 관련성이 매우 높다."
